,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,OT,Notes
127.0,2025-02-12,Iowa,,Rutgers,,,
91.0,2025-02-12,La Salle,,Saint Joseph's,,,
64.0,2025-02-12,Chattanooga,,Samford,,,
93.0,2025-02-12,Mississippi,,South Carolina,,,
52.0,2025-02-12,UNC Asheville,,South Carolina Upstate,,,
107.0,2025-02-12,Oklahoma State,,TCU,,,
76.0,2025-02-12,Tulsa,,Temple,,,
108.0,2025-02-12,Arizona State,,Texas Tech,,,
65.0,2025-02-12,Wofford,,The Citadel,,,
66.0,2025-02-12,Virginia Military Institute,,UNC Greensboro,,,
93.0,2025-02-12,Belmont,,Valparaiso,,,
77.0,2025-02-12,St. John's (NY),,Villanova,,,
126.0,2025-02-12,Florida State,,Wake Forest,,,
67.0,2025-02-12,East Tennessee State,,Western Carolina,,,
77.0,2025-02-12,UTSA,,Wichita State,,,
53.0,2025-02-12,Radford,,Winthrop,,,
86.0,2025-02-12,Purdue Fort Wayne,,Youngstown State,,,
44.0,2025-02-13,Seattle,,Abilene Christian,,,
75.0,2025-02-13,Florida Gulf Coast,,Austin Peay,,,
76.0,2025-02-13,Queens (NC),,Bellarmine,,,
46.0,2025-02-13,NJIT,,Bryant,,,
73.0,2025-02-13,UC San Diego,,Cal State Bakersfield,,,
74.0,2025-02-13,Cal Poly,,Cal State Fullerton,,,
77.0,2025-02-13,Jacksonville,,Central Arkansas,,,
50.0,2025-02-13,Mercyhurst,,Central Connecticut State,,,
90.0,2025-02-13,Appalachian State,,Coastal Carolina,,,
81.0,2025-02-13,Tennessee State,,Eastern Illinois,,,
78.0,2025-02-13,West Georgia,,Eastern Kentucky,,,
87.0,2025-02-13,North Carolina A&T,,Elon,,,
51.0,2025-02-13,Chicago State,,FDU,,,
91.0,2025-02-13,James Madison,,Georgia Southern,,,
92.0,2025-02-13,Old Dominion,,Georgia State,,,
74.0,2025-02-13,San Francisco,,Gonzaga,,,
88.0,2025-02-13,Drexel,,Hampton,,,
52.0,2025-02-13,Wagner,,Le Moyne,,,
82.0,2025-02-13,Morehead State,,Lindenwood,,,
79.0,2025-02-13,Stetson,,Lipscomb,,,
84.0,2025-02-13,Tennessee Tech,,Little Rock,,,
56.0,2025-02-13,Kennesaw State,,Louisiana Tech,,,
93.0,2025-02-13,Texas State,,Louisiana-Monroe,,,
47.0,2025-02-13,Binghamton,,Maryland-Baltimore County,,,
48.0,2025-02-13,Albany (NY),,Massachusetts-Lowell,,,
60.0,2025-02-13,Idaho State,,Montana,,,
61.0,2025-02-13,Weber State,,Montana State,,,
128.0,2025-02-13,Maryland,,Nebraska,,,
57.0,2025-02-13,Liberty,,New Mexico State,,,
80.0,2025-02-13,North Florida,,North Alabama,,,
50.0,2025-02-13,Denver,,North Dakota,,,
51.0,2025-02-13,Oral Roberts,,North Dakota State,,,
89.0,2025-02-13,Campbell,,Northeastern,,,
75.0,2025-02-13,San Diego,,Pepperdine,,,
76.0,2025-02-13,Oregon State,,Portland,,,
63.0,2025-02-13,Northern Arizona,,Portland State,,,
64.0,2025-02-13,Northern Colorado,,Sacramento State,,,
58.0,2025-02-13,Jacksonville State,,Sam Houston,,,
94.0,2025-02-13,Marshall,,South Alabama,,,
52.0,2025-02-13,Kansas City,,South Dakota,,,
53.0,2025-02-13,Omaha,,South Dakota State,,,
78.0,2025-02-13,Memphis,,South Florida,,,
85.0,2025-02-13,Tennessee-Martin,,Southern Illinois-Edwardsville,,,
45.0,2025-02-13,Utah Tech,,Southern Utah,,,
53.0,2025-02-13,Saint Francis (PA),,Stonehill,,,
90.0,2025-02-13,Monmouth,,Stony Brook,,,
46.0,2025-02-13,Grand Canyon,,Tarleton State,,,
91.0,2025-02-13,Delaware,,Towson,,,
75.0,2025-02-13,UC Riverside,,UC Davis,,,
76.0,2025-02-13,UC Santa Barbara,,UC Irvine,,,
92.0,2025-02-13,College of Charleston,,UNC Wilmington,,,
47.0,2025-02-13,California Baptist,,UT Arlington,,,
59.0,2025-02-13,Florida International,,UTEP,,,
49.0,2025-02-13,New Hampshire,,Vermont,,,
86.0,2025-02-13,Southern Indiana,,Western Illinois,,,
93.0,2025-02-13,Hofstra,,William & Mary,,,
29.0,2025-02-14,Princeton,,Brown,,,
30.0,2025-02-14,Columbia,,Dartmouth,,,
87.0,2025-02-14,Northern Kentucky,,Green Bay,,,
31.0,2025-02-14,Cornell,,Harvard,,,
77.0,2025-02-14,Long Beach State,,Hawaii,,,
129.0,2025-02-14,UCLA,,Indiana,,,
86.0,2025-02-14,Rider,,Iona,,,
92.0,2025-02-14,Saint Louis,,Loyola (IL),,,
87.0,2025-02-14,Merrimack,,Manhattan,,,
88.0,2025-02-14,Wright State,,Milwaukee,,,
88.0,2025-02-14,Mount St. Mary's,,Niagara,,,
89.0,2025-02-14,Quinnipiac,,Sacred Heart,,,
90.0,2025-02-14,Fairfield,,Saint Peter's,,,
79.0,2025-02-14,Nevada,,San Jose State,,,
91.0,2025-02-14,Marist,,Siena,,,
32.0,2025-02-14,Pennsylvania,,Yale,,,
94.0,2025-02-15,Auburn,,Alabama,,,
67.0,2025-02-15,Loyola (MD),,American,,,
109.0,2025-02-15,Houston,,Arizona,,,
110.0,2025-02-15,TCU,,Arizona State,,,
95.0,2025-02-15,Troy,,Arkansas State,,,
68.0,2025-02-15,Alabama State,,Arkansas-Pine Bluff,,,
81.0,2025-02-15,Stetson,,Austin Peay,,,
69.0,2025-02-15,Northern Illinois,,Ball State,,,
111.0,2025-02-15,West Virginia,,Baylor,,,
82.0,2025-02-15,West Georgia,,Bellarmine,,,
69.0,2025-02-15,Alcorn State,,Bethune-Cookman,,,
68.0,2025-02-15,Colgate,,Boston University,,,
112.0,2025-02-15,Kansas State,,Brigham Young,,,
33.0,2025-02-15,Pennsylvania,,Brown,,,
50.0,2025-02-15,Maryland-Baltimore County,,Bryant,,,
70.0,2025-02-15,Bowling Green State,,Buffalo,,,
78.0,2025-02-15,Georgetown,,Butler,,,
78.0,2025-02-15,Cal State Fullerton,,Cal State Bakersfield,,,
79.0,2025-02-15,Cal Poly,,Cal State Northridge,,,
48.0,2025-02-15,Utah Tech,,California Baptist,,,
84.0,2025-02-15,North Florida,,Central Arkansas,,,
54.0,2025-02-15,Saint Francis (PA),,Central Connecticut State,,,
71.0,2025-02-15,Akron,,Central Michigan,,,
79.0,2025-02-15,East Carolina,,Charlotte,,,
68.0,2025-02-15,East Tennessee State,,Chattanooga,,,
96.0,2025-02-15,James Madison,,Coastal Carolina,,,
113.0,2025-02-15,UCF,,Colorado,,,
80.0,2025-02-15,Wyoming,,Colorado State,,,
34.0,2025-02-15,Cornell,,Dartmouth,,,
93.0,2025-02-15,George Washington,,Davidson,,,
94.0,2025-02-15,Duquesne,,Dayton,,,
94.0,2025-02-15,Campbell,,Delaware,,,
29.0,2025-02-15,Howard,,Delaware State,,,
127.0,2025-02-15,Stanford,,Duke,,,
88.0,2025-02-15,Lamar,,East Texas A&M,,,
87.0,2025-02-15,Tennessee-Martin,,Eastern Illinois,,,
85.0,2025-02-15,Queens (NC),,Eastern Kentucky,,,
72.0,2025-02-15,Toledo,,Eastern Michigan,,,
65.0,2025-02-15,Idaho,,Eastern Washington,,,
95.0,2025-02-15,South Carolina,,Florida,,,
70.0,2025-02-15,Jackson State,,Florida A&M,,,
128.0,2025-02-15,Clemson,,Florida State,,,
81.0,2025-02-15,Nevada-Las Vegas,,Fresno State,,,
69.0,2025-02-15,UNC Greensboro,,Furman,,,
95.0,2025-02-15,Saint Joseph's,,George Mason,,,
96.0,2025-02-15,Missouri,,Georgia,,,
97.0,2025-02-15,Old Dominion,,Georgia Southern,,,
98.0,2025-02-15,Appalachian State,,Georgia State,,,
129.0,2025-02-15,California,,Georgia Tech,,,
77.0,2025-02-15,Pepperdine,,Gonzaga,,,
71.0,2025-02-15,Texas Southern,,Grambling,,,
95.0,2025-02-15,Hofstra,,Hampton,,,
35.0,2025-02-15,Columbia,,Harvard,,,
130.0,2025-02-15,Michigan State,,Illinois,,,
94.0,2025-02-15,Illinois State,,Indiana State,,,
114.0,2025-02-15,Cincinnati,,Iowa State,,,
73.0,2025-02-15,Ohio,,Kent State,,,
69.0,2025-02-15,Bucknell,,Lafayette,,,
55.0,2025-02-15,Chicago State,,Le Moyne,,,
70.0,2025-02-15,Holy Cross,,Lehigh,,,
88.0,2025-02-15,Southern Indiana,,Lindenwood,,,
86.0,2025-02-15,Florida Gulf Coast,,Lipscomb,,,
56.0,2025-02-15,FDU,,Long Island University,,,
54.0,2025-02-15,Presbyterian,,Longwood,,,
99.0,2025-02-15,Marshall,,Louisiana,,,
60.0,2025-02-15,Jacksonville State,,Louisiana Tech,,,
100.0,2025-02-15,Southern Mississippi,,Louisiana-Monroe,,,
51.0,2025-02-15,Vermont,,Maine,,,
30.0,2025-02-15,Norfolk State,,Maryland-Eastern Shore,,,
96.0,2025-02-15,St. Bonaventure,,Massachusetts,,,
70.0,2025-02-15,Virginia Military Institute,,Mercer,,,
97.0,2025-02-15,Mississippi State,,Mississippi,,,
72.0,2025-02-15,Alabama A&M,,Mississippi Valley State,,,
66.0,2025-02-15,Weber State,,Montana,,,
67.0,2025-02-15,Idaho State,,Montana State,,,
130.0,2025-02-15,Boston College,,NC State,,,
53.0,2025-02-15,Binghamton,,NJIT,,,
71.0,2025-02-15,Army,,Navy,,,
52.0,2025-02-15,Massachusetts-Lowell,,New Hampshire,,,
61.0,2025-02-15,Florida International,,New Mexico State,,,
89.0,2025-02-15,McNeese State,,New Orleans,,,
87.0,2025-02-15,Jacksonville,,North Alabama,,,
96.0,2025-02-15,College of Charleston,,North Carolina A&T,,,
31.0,2025-02-15,Coppin State,,North Carolina Central,,,
54.0,2025-02-15,Oral Roberts,,North Dakota,,,
55.0,2025-02-15,Denver,,North Dakota State,,,
97.0,2025-02-15,Stony Brook,,Northeastern,,,
90.0,2025-02-15,Stephen F. Austin,,Northwestern State,,,
98.0,2025-02-15,Louisiana State,,Oklahoma,,,
115.0,2025-02-15,Texas Tech,,Oklahoma State,,,
78.0,2025-02-15,Pacific,,Oregon State,,,
131.0,2025-02-15,Washington,,Penn State,,,
131.0,2025-02-15,Miami (FL),,Pittsburgh,,,
79.0,2025-02-15,Loyola Marymount,,Portland,,,
68.0,2025-02-15,Northern Colorado,,Portland State,,,
79.0,2025-02-15,Villanova,,Providence,,,
132.0,2025-02-15,Wisconsin,,Purdue,,,
97.0,2025-02-15,La Salle,,Rhode Island,,,
98.0,2025-02-15,Fordham,,Richmond,,,
89.0,2025-02-15,Purdue Fort Wayne,,Robert Morris,,,
69.0,2025-02-15,Northern Arizona,,Sacramento State,,,
80.0,2025-02-15,Washington State,,Saint Mary's (CA),,,
63.0,2025-02-15,Kennesaw State,,Sam Houston,,,
81.0,2025-02-15,San Francisco,,San Diego,,,
82.0,2025-02-15,Boise State,,San Diego State,,,
80.0,2025-02-15,Connecticut,,Seton Hall,,,
101.0,2025-02-15,Texas State,,South Alabama,,,
32.0,2025-02-15,Morgan State,,South Carolina State,,,
55.0,2025-02-15,Gardner-Webb,,South Carolina Upstate,,,
56.0,2025-02-15,South Dakota State,,South Dakota,,,
89.0,2025-02-15,Tennessee Tech,,Southeast Missouri State,,,
91.0,2025-02-15,Nicholls State,,Southeastern Louisiana,,,
73.0,2025-02-15,Prairie View,,Southern,,,
133.0,2025-02-15,Minnesota,,Southern California,,,
95.0,2025-02-15,Belmont,,Southern Illinois,,,
90.0,2025-02-15,Tennessee State,,Southern Illinois-Edwardsville,,,
132.0,2025-02-15,Wake Forest,,Southern Methodist,,,
49.0,2025-02-15,Utah Valley,,Southern Utah,,,
57.0,2025-02-15,Omaha,,St. Thomas,,,
57.0,2025-02-15,Mercyhurst,,Stonehill,,,
133.0,2025-02-15,North Carolina,,Syracuse,,,
50.0,2025-02-15,Seattle,,Tarleton State,,,
99.0,2025-02-15,Vanderbilt,,Tennessee,,,
100.0,2025-02-15,Kentucky,,Texas,,,
101.0,2025-02-15,Arkansas,,Texas A&M,,,
92.0,2025-02-15,Incarnate Word,,Texas A&M-Corpus Christi,,,
93.0,2025-02-15,Houston Christian,,Texas-Rio Grande Valley,,,
98.0,2025-02-15,Monmouth,,Towson,,,
80.0,2025-02-15,Rice,,Tulane,,,
81.0,2025-02-15,UTSA,,Tulsa,,,
80.0,2025-02-15,UC Santa Barbara,,UC Riverside,,,
81.0,2025-02-15,UC Davis,,UC San Diego,,,
56.0,2025-02-15,Charleston Southern,,UNC Asheville,,,
99.0,2025-02-15,Elon,,UNC Wilmington,,,
51.0,2025-02-15,Grand Canyon,,UT Arlington,,,
64.0,2025-02-15,Liberty,,UTEP,,,
134.0,2025-02-15,Virginia,,Virginia Tech,,,
71.0,2025-02-15,The Citadel,,Western Carolina,,,
91.0,2025-02-15,Morehead State,,Western Illinois,,,
65.0,2025-02-15,Middle Tennessee,,Western Kentucky,,,
74.0,2025-02-15,Miami (OH),,Western Michigan,,,
100.0,2025-02-15,Drexel,,William & Mary,,,
57.0,2025-02-15,High Point,,Winthrop,,,
72.0,2025-02-15,Samford,,Wofford,,,
81.0,2025-02-15,DePaul,,Xavier,,,
36.0,2025-02-15,Princeton,,Yale,,,
92.0,2025-02-16,Mount St. Mary's,,Canisius,,,
90.0,2025-02-16,Youngstown State,,Cleveland State,,,
96.0,2025-02-16,Bradley,,Drake,,,
97.0,2025-02-16,Valparaiso,,Evansville,,,
93.0,2025-02-16,Manhattan,,Fairfield,,,
91.0,2025-02-16,Wright State,,Green Bay,,,
82.0,2025-02-16,UC Irvine,,Hawaii,,,
98.0,2025-02-16,Missouri State,,Illinois-Chicago,,,
134.0,2025-02-16,Iowa,,Maryland,,,
94.0,2025-02-16,Marist,,Merrimack,,,
92.0,2025-02-16,Northern Kentucky,,Milwaukee,,,
99.0,2025-02-16,Northern Iowa,,Murray State,,,
84.0,2025-02-16,Utah State,,New Mexico,,,
135.0,2025-02-16,Nebraska,,Northwestern,,,
135.0,2025-02-16,Louisville,,Notre Dame,,,
93.0,2025-02-16,Detroit Mercy,,Oakland,,,
136.0,2025-02-16,Michigan,,Ohio State,,,
137.0,2025-02-16,Rutgers,,Oregon,,,
95.0,2025-02-16,Iona,,Quinnipiac,,,
96.0,2025-02-16,Siena,,Sacred Heart,,,
97.0,2025-02-16,Rider,,Saint Peter's,,,
82.0,2025-02-16,Creighton,,St. John's (NY),,,
82.0,2025-02-16,Florida Atlantic,,Temple,,,
84.0,2025-02-16,South Florida,,UAB,,,
85.0,2025-02-16,Memphis,,Wichita State,,,
74.0,2025-02-17,Alabama A&M,,Arkansas-Pine Bluff,,,
116.0,2025-02-17,Arizona,,Baylor,,,
75.0,2025-02-17,Jackson State,,Bethune-Cookman,,,
72.0,2025-02-17,Lehigh,,Bucknell,,,
94.0,2025-02-17,Stephen F. Austin,,East Texas A&M,,,
76.0,2025-02-17,Alcorn State,,Florida A&M,,,
77.0,2025-02-17,Prairie View,,Grambling,,,
33.0,2025-02-17,Maryland-Eastern Shore,,Howard,,,
78.0,2025-02-17,Alabama State,,Mississippi Valley State,,,
95.0,2025-02-17,Nicholls State,,New Orleans,,,
34.0,2025-02-17,Delaware State,,Norfolk State,,,
35.0,2025-02-17,Morgan State,,North Carolina Central,,,
96.0,2025-02-17,Lamar,,Northwestern State,,,
36.0,2025-02-17,Coppin State,,South Carolina State,,,
97.0,2025-02-17,McNeese State,,Southeastern Louisiana,,,
79.0,2025-02-17,Texas Southern,,Southern,,,
98.0,2025-02-17,Houston Christian,,Texas A&M-Corpus Christi,,,
99.0,2025-02-17,Incarnate Word,,Texas-Rio Grande Valley,,,
117.0,2025-02-17,Kansas State,,Utah,,,
136.0,2025-02-17,Duke,,Virginia,,,
75.0,2025-02-18,Northern Illinois,,Akron,,,
118.0,2025-02-18,Houston,,Arizona State,,,
88.0,2025-02-18,Austin Peay,,Bellarmine,,,
137.0,2025-02-18,Virginia Tech,,Boston College,,,
76.0,2025-02-18,Kent State,,Bowling Green State,,,
119.0,2025-02-18,Kansas,,Brigham Young,,,
77.0,2025-02-18,Western Michigan,,Buffalo,,,
85.0,2025-02-18,Nevada,,Colorado State,,,
84.0,2025-02-18,Villanova,,Connecticut,,,
99.0,2025-02-18,Loyola (IL),,Davidson,,,
89.0,2025-02-18,Lipscomb,,Eastern Kentucky,,,
78.0,2025-02-18,Miami (OH),,Eastern Michigan,,,
102.0,2025-02-18,Oklahoma,,Florida,,,
90.0,2025-02-18,Jacksonville,,Florida Gulf Coast,,,
120.0,2025-02-18,Colorado,,Iowa State,,,
103.0,2025-02-18,South Carolina,,Louisiana State,,,
85.0,2025-02-18,Seton Hall,,Marquette,,,
138.0,2025-02-18,Purdue,,Michigan State,,,
105.0,2025-02-18,Texas A&M,,Mississippi State,,,
91.0,2025-02-18,West Georgia,,North Alabama,,,
79.0,2025-02-18,Central Michigan,,Ohio,,,
138.0,2025-02-18,Syracuse,,Pittsburgh,,,
92.0,2025-02-18,Central Arkansas,,Queens (NC),,,
86.0,2025-02-18,Fresno State,,San Diego State,,,
93.0,2025-02-18,North Florida,,Stetson,,,
121.0,2025-02-18,Texas Tech,,TCU,,,
92.0,2025-02-18,Tennessee State,,Tennessee-Martin,,,
80.0,2025-02-18,Ball State,,Toledo,,,
139.0,2025-02-18,Minnesota,,UCLA,,,
140.0,2025-02-18,Illinois,,Wisconsin,,,
87.0,2025-02-18,Air Force,,Wyoming,,,
86.0,2025-02-18,Butler,,Xavier,,,
102.0,2025-02-19,South Alabama,,Arkansas State,,,
73.0,2025-02-19,American,,Army,,,
106.0,2025-02-19,Arkansas,,Auburn,,,
100.0,2025-02-19,Northern Iowa,,Belmont,,,
88.0,2025-02-19,New Mexico,,Boise State,,,
74.0,2025-02-19,Loyola (MD),,Boston University,,,
86.0,2025-02-19,Temple,,Charlotte,,,
73.0,2025-02-19,Western Carolina,,Chattanooga,,,
75.0,2025-02-19,Navy,,Colgate,,,
87.0,2025-02-19,St. John's (NY),,DePaul,,,
58.0,2025-02-19,Oral Roberts,,Denver,,,
94.0,2025-02-19,IU Indy,,Detroit Mercy,,,
101.0,2025-02-19,Illinois-Chicago,,Drake,,,
100.0,2025-02-19,Fordham,,Duquesne,,,
74.0,2025-02-19,UNC Greensboro,,East Tennessee State,,,
139.0,2025-02-19,Miami (FL),,Florida State,,,
101.0,2025-02-19,Saint Joseph's,,George Washington,,,
88.0,2025-02-19,Providence,,Georgetown,,,
58.0,2025-02-19,Charleston Southern,,High Point,,,
76.0,2025-02-19,Lafayette,,Holy Cross,,,
102.0,2025-02-19,Bradley,,Illinois State,,,
103.0,2025-02-19,Evansville,,Indiana State,,,
141.0,2025-02-19,Oregon,,Iowa,,,
59.0,2025-02-19,Omaha,,Kansas City,,,
107.0,2025-02-19,Vanderbilt,,Kentucky,,,
102.0,2025-02-19,Richmond,,La Salle,,,
59.0,2025-02-19,Gardner-Webb,,Longwood,,,
108.0,2025-02-19,Alabama,,Missouri,,,
105.0,2025-02-19,Southern Illinois,,Murray State,,,
140.0,2025-02-19,NC State,,North Carolina,,,
87.0,2025-02-19,Tulsa,,North Texas,,,
141.0,2025-02-19,Southern Methodist,,Notre Dame,,,
122.0,2025-02-19,UCF,,Oklahoma State,,,
142.0,2025-02-19,Nebraska,,Penn State,,,
60.0,2025-02-19,Winthrop,,Presbyterian,,,
61.0,2025-02-19,UNC Asheville,,Radford,,,
88.0,2025-02-19,UAB,,Rice,,,
82.0,2025-02-19,Portland,,Saint Mary's (CA),,,
75.0,2025-02-19,Furman,,Samford,,,
84.0,2025-02-19,Loyola Marymount,,Santa Clara,,,
60.0,2025-02-19,St. Thomas,,South Dakota,,,
61.0,2025-02-19,North Dakota State,,South Dakota State,,,
103.0,2025-02-19,Louisiana-Monroe,,Texas State,,,
76.0,2025-02-19,Mercer,,The Citadel,,,
89.0,2025-02-19,East Carolina,,Tulane,,,
90.0,2025-02-19,South Florida,,UTSA,,,
89.0,2025-02-19,San Jose State,,Utah State,,,
106.0,2025-02-19,Missouri State,,Valparaiso,,,
103.0,2025-02-19,Massachusetts,,Virginia Commonwealth,,,
77.0,2025-02-19,Wofford,,Virginia Military Institute,,,
143.0,2025-02-19,Rutgers,,Washington,,,
85.0,2025-02-19,Gonzaga,,Washington State,,,
123.0,2025-02-19,Cincinnati,,West Virginia,,,
52.0,2025-02-20,Southern Utah,,Abilene Christian,,,
54.0,2025-02-20,Maine,,Albany (NY),,,
105.0,2025-02-20,Georgia Southern,,Appalachian State,,,
94.0,2025-02-20,Eastern Kentucky,,Bellarmine,,,
55.0,2025-02-20,New Hampshire,,Binghamton,,,
84.0,2025-02-20,UC San Diego,,Cal Poly,,,
58.0,2025-02-20,Central Connecticut State,,Chicago State,,,
101.0,2025-02-20,Drexel,,Delaware,,,
102.0,2025-02-20,Towson,,Elon,,,
91.0,2025-02-20,Wichita State,,Florida Atlantic,,,
103.0,2025-02-20,Stony Brook,,Hampton,,,
105.0,2025-02-20,Monmouth,,Hofstra,,,
70.0,2025-02-20,Portland State,,Idaho State,,,
66.0,2025-02-20,New Mexico State,,Jacksonville State,,,
106.0,2025-02-20,Georgia State,,James Madison,,,
67.0,2025-02-20,UTEP,,Kennesaw State,,,
59.0,2025-02-20,Saint Francis (PA),,Le Moyne,,,
95.0,2025-02-20,North Alabama,,Lipscomb,,,
93.0,2025-02-20,Lindenwood,,Little Rock,,,
144.0,2025-02-20,Southern California,,Maryland,,,
56.0,2025-02-20,Maryland-Baltimore County,,Massachusetts-Lowell,,,
60.0,2025-02-20,FDU,,Mercyhurst,,,
68.0,2025-02-20,Louisiana Tech,,Middle Tennessee,,,
94.0,2025-02-20,Southern Illinois-Edwardsville,,Morehead State,,,
106.0,2025-02-20,Campbell,,North Carolina A&T,,,
96.0,2025-02-20,Jacksonville,,North Florida,,,
107.0,2025-02-20,College of Charleston,,Northeastern,,,
71.0,2025-02-20,Idaho,,Northern Arizona,,,
72.0,2025-02-20,Eastern Washington,,Northern Colorado,,,
145.0,2025-02-20,Northwestern,,Ohio State,,,
107.0,2025-02-20,Marshall,,Old Dominion,,,
86.0,2025-02-20,Oregon State,,Pepperdine,,,
97.0,2025-02-20,Austin Peay,,Queens (NC),,,
87.0,2025-02-20,Pacific,,San Francisco,,,
95.0,2025-02-20,Western Illinois,,Southeast Missouri State,,,
96.0,2025-02-20,Eastern Illinois,,Southern Indiana,,,
108.0,2025-02-20,Coastal Carolina,,Southern Mississippi,,,
98.0,2025-02-20,Florida Gulf Coast,,Stetson,,,
97.0,2025-02-20,Tennessee-Martin,,Tennessee Tech,,,
109.0,2025-02-20,Louisiana,,Troy,,,
85.0,2025-02-20,Cal State Bakersfield,,UC Davis,,,
86.0,2025-02-20,Cal State Northridge,,UC Irvine,,,
87.0,2025-02-20,Long Beach State,,UC Riverside,,,
88.0,2025-02-20,Cal State Fullerton,,UC Santa Barbara,,,
53.0,2025-02-20,Utah Valley,,Utah Tech,,,
57.0,2025-02-20,Bryant,,Vermont,,,
61.0,2025-02-20,Stonehill,,Wagner,,,
73.0,2025-02-20,Sacramento State,,Weber State,,,
99.0,2025-02-20,Central Arkansas,,West Georgia,,,
69.0,2025-02-20,Sam Houston,,Western Kentucky,,,
108.0,2025-02-20,UNC Wilmington,,William & Mary,,,
37.0,2025-02-21,Columbia,,Brown,,,
95.0,2025-02-21,Cleveland State,,Detroit Mercy,,,
98.0,2025-02-21,Manhattan,,Iona,,,
105.0,2025-02-21,Dayton,,Loyola (IL),,,
99.0,2025-02-21,Canisius,,Marist,,,
100.0,2025-02-21,Sacred Heart,,Merrimack,,,
147.0,2025-02-21,Michigan State,,Michigan,,,
101.0,2025-02-21,Saint Peter's,,Mount St. Mary's,,,
38.0,2025-02-21,Dartmouth,,Pennsylvania,,,
39.0,2025-02-21,Harvard,,Princeton,,,
96.0,2025-02-21,Oakland,,Purdue Fort Wayne,,,
102.0,2025-02-21,Fairfield,,Rider,,,
97.0,2025-02-21,Green Bay,,Robert Morris,,,
103.0,2025-02-21,Niagara,,Siena,,,
89.0,2025-02-21,Marquette,,Villanova,,,
98.0,2025-02-21,Northern Kentucky,,Wright State,,,
40.0,2025-02-21,Cornell,,Yale,,,
99.0,2025-02-21,Milwaukee,,Youngstown State,,,
54.0,2025-02-22,Utah Tech,,Abilene Christian,,,
90.0,2025-02-22,Fresno State,,Air Force,,,
109.0,2025-02-22,Kentucky,,Alabama,,,
80.0,2025-02-22,Bethune-Cookman,,Alabama A&M,,,
81.0,2025-02-22,Florida A&M,,Alabama State,,,
58.0,2025-02-22,New Hampshire,,Albany (NY),,,
77.0,2025-02-22,Boston University,,American,,,
110.0,2025-02-22,Marshall,,Appalachian State,,,
124.0,2025-02-22,Brigham Young,,Arizona,,,
110.0,2025-02-22,Missouri,,Arkansas,,,
111.0,2025-02-22,Louisiana-Monroe,,Arkansas State,,,
111.0,2025-02-22,Georgia,,Auburn,,,
81.0,2025-02-22,Buffalo,,Ball State,,,
107.0,2025-02-22,Indiana State,,Belmont,,,
59.0,2025-02-22,Maine,,Binghamton,,,
142.0,2025-02-22,Georgia Tech,,Boston College,,,
108.0,2025-02-22,Murray State,,Bradley,,,
42.0,2025-02-22,Cornell,,Brown,,,
89.0,2025-02-22,UC Riverside,,Cal Poly,,,
90.0,2025-02-22,UC Irvine,,Cal State Bakersfield,,,
109.0,2025-02-22,Towson,,Campbell,,,
63.0,2025-02-22,Stonehill,,Central Connecticut State,,,
63.0,2025-02-22,South Carolina Upstate,,Charleston Southern,,,
78.0,2025-02-22,The Citadel,,Chattanooga,,,
64.0,2025-02-22,Wagner,,Chicago State,,,
126.0,2025-02-22,TCU,,Cincinnati,,,
127.0,2025-02-22,Baylor,,Colorado,,,
37.0,2025-02-22,Norfolk State,,Coppin State,,,
43.0,2025-02-22,Princeton,,Dartmouth,,,
90.0,2025-02-22,Butler,,DePaul,,,
110.0,2025-02-22,Hofstra,,Delaware,,,
38.0,2025-02-22,South Carolina State,,Delaware State,,,
111.0,2025-02-22,College of Charleston,,Drexel,,,
112.0,2025-02-22,William & Mary,,Elon,,,
106.0,2025-02-22,Davidson,,Fordham,,,
79.0,2025-02-22,Virginia Military Institute,,Furman,,,
64.0,2025-02-22,High Point,,Gardner-Webb,,,
107.0,2025-02-22,Massachusetts,,George Washington,,,
88.0,2025-02-22,Saint Mary's (CA),,Gonzaga,,,
82.0,2025-02-22,Southern,,Grambling,,,
55.0,2025-02-22,California Baptist,,Grand Canyon,,,
113.0,2025-02-22,UNC Wilmington,,Hampton,,,
128.0,2025-02-22,Iowa State,,Houston,,,
100.0,2025-02-22,Lamar,,Houston Christian,,,
74.0,2025-02-22,Sacramento State,,Idaho State,,,
109.0,2025-02-22,Evansville,,Illinois-Chicago,,,
101.0,2025-02-22,Stephen F. Austin,,Incarnate Word,,,
148.0,2025-02-22,Washington,,Iowa,,,
84.0,2025-02-22,Alcorn State,,Jackson State,,,
70.0,2025-02-22,UTEP,,Jacksonville State,,,
112.0,2025-02-22,Georgia Southern,,James Madison,,,
129.0,2025-02-22,Oklahoma State,,Kansas,,,
71.0,2025-02-22,New Mexico State,,Kennesaw State,,,
78.0,2025-02-22,Lehigh,,Lafayette,,,
65.0,2025-02-22,Long Island University,,Le Moyne,,,
72.0,2025-02-22,Florida International,,Liberty,,,
98.0,2025-02-22,Western Illinois,,Little Rock,,,
91.0,2025-02-22,UC Santa Barbara,,Long Beach State,,,
112.0,2025-02-22,Florida,,Louisiana State,,,
143.0,2025-02-22,Florida State,,Louisville,,,
79.0,2025-02-22,Colgate,,Loyola (MD),,,
89.0,2025-02-22,Pepperdine,,Loyola Marymount,,,
60.0,2025-02-22,NJIT,,Maryland-Baltimore County,,,
