,Date,time,home_team,away_team
88,2025-04-02,,NYY:New York Yankees,ARI:Arizona D'Backs
89,2025-04-02,,PHI:Philadelphia Phillies,COL:Colorado Rockies
90,2025-04-02,,SDP:San Diego Padres,CLE:Cleveland Guardians
91,2025-04-02,,SEA:Seattle Mariners,DET:Detroit Tigers
92,2025-04-02,,STL:St. Louis Cardinals,LAA:Los Angeles Angels
93,2025-04-02,,TBR:Tampa Bay Rays,PIT:Pittsburgh Pirates
94,2025-04-02,,TOR:Toronto Blue Jays,WSN:Washington Nationals
95,2025-04-03,,BAL:Baltimore Orioles,BOS:Boston Red Sox
96,2025-04-03,,MIL:Milwaukee Brewers,CIN:Cincinnati Reds
97,2025-04-03,,MIN:Minnesota Twins,HOU:Houston Astros
98,2025-04-03,,NYY:New York Yankees,ARI:Arizona D'Backs
99,2025-04-03,,PHI:Philadelphia Phillies,COL:Colorado Rockies
101,2025-04-04,,ATL:Atlanta Braves,MIA:Miami Marlins
102,2025-04-04,,BOS:Boston Red Sox,STL:St. Louis Cardinals
103,2025-04-04,,CHC:Chicago Cubs,SDP:San Diego Padres
104,2025-04-04,,COL:Colorado Rockies,ATH:Athletics
105,2025-04-04,,DET:Detroit Tigers,CHW:Chicago White Sox
106,2025-04-04,,KCR:Kansas City Royals,BAL:Baltimore Orioles
100,2025-04-04,,LAA:Los Angeles Angels,CLE:Cleveland Guardians
107,2025-04-04,,MIL:Milwaukee Brewers,CIN:Cincinnati Reds
108,2025-04-04,,NYM:New York Mets,TOR:Toronto Blue Jays
109,2025-04-04,,PHI:Philadelphia Phillies,LAD:Los Angeles Dodgers
110,2025-04-04,,PIT:Pittsburgh Pirates,NYY:New York Yankees
111,2025-04-04,,SFG:San Francisco Giants,SEA:Seattle Mariners
112,2025-04-04,,TEX:Texas Rangers,TBR:Tampa Bay Rays
113,2025-04-04,,WSN:Washington Nationals,ARI:Arizona D'Backs
115,2025-04-05,,ATL:Atlanta Braves,MIA:Miami Marlins
116,2025-04-05,,CHC:Chicago Cubs,SDP:San Diego Padres
117,2025-04-05,,COL:Colorado Rockies,ATH:Athletics
118,2025-04-05,,DET:Detroit Tigers,CHW:Chicago White Sox
119,2025-04-05,,KCR:Kansas City Royals,BAL:Baltimore Orioles
114,2025-04-05,,LAA:Los Angeles Angels,CLE:Cleveland Guardians
120,2025-04-05,,MIL:Milwaukee Brewers,CIN:Cincinnati Reds
121,2025-04-05,,MIN:Minnesota Twins,HOU:Houston Astros
122,2025-04-05,,NYM:New York Mets,TOR:Toronto Blue Jays
123,2025-04-05,,PHI:Philadelphia Phillies,LAD:Los Angeles Dodgers
124,2025-04-05,,PIT:Pittsburgh Pirates,NYY:New York Yankees
125,2025-04-05,,SFG:San Francisco Giants,SEA:Seattle Mariners
126,2025-04-05,,TEX:Texas Rangers,TBR:Tampa Bay Rays
127,2025-04-05,,WSN:Washington Nationals,ARI:Arizona D'Backs
129,2025-04-06,,BOS:Boston Red Sox,STL:St. Louis Cardinals
