,Conference,Date,time,home_team,away_team
0,big-ten,2024-12-03,12:00AM,iowa:Iowa,northwestern:Northwestern
1,big-ten,2024-12-03,12:00AM,ucla:UCLA,washington:Washington
2,big-ten,2024-12-03,12:00AM,wisconsin:Wisconsin,michigan:Michigan
0,coastal,2024-12-03,12:00AM,hampton:Hampton,north-carolina-at:North Carolina A&T
0,mvc,2024-12-03,12:00AM,murray-state:Murray State,evansville:Evansville
1,mvc,2024-12-03,12:00AM,southern-illinois:Southern Illinois,bradley:Bradley
3,big-ten,2024-12-04,12:00AM,maryland:Maryland,ohio-state:Ohio State
4,big-ten,2024-12-04,12:00AM,minnesota:Minnesota,michigan-state:Michigan State
5,big-ten,2024-12-04,12:00AM,southern-california:Southern California,oregon:Oregon
0,horizon,2024-12-04,12:00AM,iupui:IU Indy,green-bay:Green Bay
1,horizon,2024-12-04,12:00AM,robert-morris:Robert Morris,youngstown-state:Youngstown State
0,maac,2024-12-04,12:00AM,fairfield:Fairfield,rider:Rider
2,mvc,2024-12-04,12:00AM,belmont:Belmont,illinois-state:Illinois State
3,mvc,2024-12-04,12:00AM,illinois-chicago:Illinois-Chicago,northern-iowa:Northern Iowa
0,mwc,2024-12-04,12:00AM,fresno-state:Fresno State,san-diego-state:San Diego State
1,mwc,2024-12-04,12:00AM,new-mexico:New Mexico,san-jose-state:San Jose State
2,mwc,2024-12-04,12:00AM,utah-state:Utah State,wyoming:Wyoming
6,big-ten,2024-12-05,12:00AM,penn-state:Penn State,purdue:Purdue
0,big-west,2024-12-05,12:00AM,cal-state-fullerton:Cal State Fullerton,long-beach-state:Long Beach State
1,big-west,2024-12-05,12:00AM,cal-state-northridge:Cal State Northridge,california-riverside:UC Riverside
2,big-west,2024-12-05,12:00AM,california-davis:UC Davis,cal-poly:Cal Poly
3,big-west,2024-12-05,12:00AM,california-irvine:UC Irvine,cal-state-bakersfield:Cal State Bakersfield
4,big-west,2024-12-05,12:00AM,california-santa-barbara:UC Santa Barbara,california-san-diego:UC San Diego
2,horizon,2024-12-05,12:00AM,detroit-mercy:Detroit Mercy,ipfw:Purdue Fort Wayne
3,horizon,2024-12-05,12:00AM,milwaukee:Milwaukee,cleveland-state:Cleveland State
4,horizon,2024-12-05,12:00AM,oakland:Oakland,wright-state:Wright State
4,mvc,2024-12-05,12:00AM,valparaiso:Valparaiso,drake:Drake
0,southland,2024-12-05,12:00AM,houston-baptist:Houston Christian,texas-am-commerce:East Texas A&M
1,southland,2024-12-05,12:00AM,incarnate-word:Incarnate Word,northwestern-state:Northwestern State
2,southland,2024-12-05,12:00AM,nicholls-state:Nicholls State,southeastern-louisiana:Southeastern Louisiana
3,southland,2024-12-05,12:00AM,texas-am-corpus-christi:Texas A&M-Corpus Christi,lamar:Lamar
4,southland,2024-12-05,12:00AM,texas-pan-american:Texas-Rio Grande Valley,stephen-f-austin:Stephen F. Austin
7,big-ten,2024-12-06,12:00AM,northwestern:Northwestern,illinois:Illinois
1,maac,2024-12-06,12:00AM,canisius:Canisius,merrimack:Merrimack
2,maac,2024-12-06,12:00AM,marist:Marist,mount-st-marys:Mount St. Mary's
3,maac,2024-12-06,12:00AM,niagara:Niagara,siena:Siena
4,maac,2024-12-06,12:00AM,rider:Rider,quinnipiac:Quinnipiac
5,maac,2024-12-06,12:00AM,sacred-heart:Sacred Heart,iona:Iona
6,maac,2024-12-06,12:00AM,saint-peters:Saint Peter's,manhattan:Manhattan
0,acc,2024-12-07,12:00AM,california:California,stanford:Stanford
1,acc,2024-12-07,12:00AM,miami-fl:Miami (FL),clemson:Clemson
2,acc,2024-12-07,12:00AM,north-carolina-state:NC State,florida-state:Florida State
3,acc,2024-12-07,12:00AM,north-carolina:North Carolina,georgia-tech:Georgia Tech
4,acc,2024-12-07,12:00AM,notre-dame:Notre Dame,syracuse:Syracuse
5,acc,2024-12-07,12:00AM,southern-methodist:Southern Methodist,virginia:Virginia
6,acc,2024-12-07,12:00AM,virginia-tech:Virginia Tech,pittsburgh:Pittsburgh
7,acc,2024-12-07,12:00AM,wake-forest:Wake Forest,boston-college:Boston College
9,big-ten,2024-12-07,12:00AM,michigan-state:Michigan State,nebraska:Nebraska
8,big-ten,2024-12-07,12:00AM,michigan:Michigan,iowa:Iowa
10,big-ten,2024-12-07,12:00AM,ohio-state:Ohio State,rutgers:Rutgers
11,big-ten,2024-12-07,12:00AM,washington:Washington,southern-california:Southern California
5,big-west,2024-12-07,12:00AM,cal-poly:Cal Poly,cal-state-northridge:Cal State Northridge
7,big-west,2024-12-07,12:00AM,california-davis:UC Davis,california-santa-barbara:UC Santa Barbara
8,big-west,2024-12-07,12:00AM,california-riverside:UC Riverside,cal-state-fullerton:Cal State Fullerton
9,big-west,2024-12-07,12:00AM,california-san-diego:UC San Diego,cal-state-bakersfield:Cal State Bakersfield
6,big-west,2024-12-07,12:00AM,long-beach-state:Long Beach State,hawaii:Hawaii
5,horizon,2024-12-07,12:00AM,detroit-mercy:Detroit Mercy,wright-state:Wright State
6,horizon,2024-12-07,12:00AM,green-bay:Green Bay,cleveland-state:Cleveland State
7,horizon,2024-12-07,12:00AM,iupui:IU Indy,northern-kentucky:Northern Kentucky
8,horizon,2024-12-07,12:00AM,youngstown-state:Youngstown State,oakland:Oakland
5,mvc,2024-12-07,12:00AM,missouri-state:Missouri State,indiana-state:Indiana State
5,southland,2024-12-07,12:00AM,houston-baptist:Houston Christian,northwestern-state:Northwestern State
6,southland,2024-12-07,12:00AM,incarnate-word:Incarnate Word,texas-am-commerce:East Texas A&M
7,southland,2024-12-07,12:00AM,nicholls-state:Nicholls State,new-orleans:New Orleans
8,southland,2024-12-07,12:00AM,texas-am-corpus-christi:Texas A&M-Corpus Christi,stephen-f-austin:Stephen F. Austin
9,southland,2024-12-07,12:00AM,texas-pan-american:Texas-Rio Grande Valley,lamar:Lamar
8,acc,2024-12-08,12:00AM,louisville:Louisville,duke:Duke
12,big-ten,2024-12-08,12:00AM,oregon:Oregon,ucla:UCLA
13,big-ten,2024-12-08,12:00AM,purdue:Purdue,maryland:Maryland
9,horizon,2024-12-08,12:00AM,ipfw:Purdue Fort Wayne,robert-morris:Robert Morris
7,maac,2024-12-08,12:00AM,canisius:Canisius,siena:Siena
8,maac,2024-12-08,12:00AM,iona:Iona,saint-peters:Saint Peter's
9,maac,2024-12-08,12:00AM,manhattan:Manhattan,marist:Marist
10,maac,2024-12-08,12:00AM,mount-st-marys:Mount St. Mary's,fairfield:Fairfield
11,maac,2024-12-08,12:00AM,niagara:Niagara,merrimack:Merrimack
12,maac,2024-12-08,12:00AM,quinnipiac:Quinnipiac,sacred-heart:Sacred Heart
14,big-ten,2024-12-09,12:00AM,indiana:Indiana,minnesota:Minnesota
0,big-east,2024-12-10,12:00AM,depaul:DePaul,providence:Providence
15,big-ten,2024-12-10,12:00AM,illinois:Illinois,wisconsin:Wisconsin
16,big-ten,2024-12-10,12:00AM,rutgers:Rutgers,penn-state:Penn State
10,horizon,2024-12-11,12:00AM,green-bay:Green Bay,milwaukee:Milwaukee
11,horizon,2024-12-11,12:00AM,ipfw:Purdue Fort Wayne,iupui:IU Indy
17,big-ten,2024-12-13,12:00AM,nebraska:Nebraska,indiana:Indiana
1,big-east,2024-12-17,12:00AM,st-johns-ny:St. John's (NY),depaul:DePaul
2,big-east,2024-12-17,12:00AM,villanova:Villanova,seton-hall:Seton Hall
0,ovc,2024-12-17,12:00AM,western-illinois:Western Illinois,tennessee-tech:Tennessee Tech
3,big-east,2024-12-18,12:00AM,connecticut:Connecticut,xavier:Xavier
4,big-east,2024-12-18,12:00AM,georgetown:Georgetown,creighton:Creighton
5,big-east,2024-12-18,12:00AM,marquette:Marquette,butler:Butler
12,horizon,2024-12-18,12:00AM,northern-kentucky:Northern Kentucky,detroit-mercy:Detroit Mercy
13,horizon,2024-12-18,12:00AM,wright-state:Wright State,youngstown-state:Youngstown State
6,mvc,2024-12-18,12:00AM,indiana-state:Indiana State,murray-state:Murray State
0,sun-belt,2024-12-18,12:00AM,louisiana-lafayette:Louisiana,appalachian-state:Appalachian State
14,horizon,2024-12-19,12:00AM,cleveland-state:Cleveland State,oakland:Oakland
2,ovc,2024-12-19,12:00AM,arkansas-little-rock:Little Rock,southern-illinois-edwardsville:Southern Illinois-Edwardsville
1,ovc,2024-12-19,12:00AM,lindenwood:Lindenwood,tennessee-tech:Tennessee Tech
3,ovc,2024-12-19,12:00AM,morehead-state:Morehead State,tennessee-martin:Tennessee-Martin
4,ovc,2024-12-19,12:00AM,southeast-missouri-state:Southeast Missouri State,eastern-illinois:Eastern Illinois
5,ovc,2024-12-19,12:00AM,southern-indiana:Southern Indiana,tennessee-state:Tennessee State
6,big-east,2024-12-20,12:00AM,providence:Providence,st-johns-ny:St. John's (NY)
9,acc,2024-12-21,12:00AM,boston-college:Boston College,southern-methodist:Southern Methodist
10,acc,2024-12-21,12:00AM,clemson:Clemson,wake-forest:Wake Forest
11,acc,2024-12-21,12:00AM,florida-state:Florida State,louisville:Louisville
12,acc,2024-12-21,12:00AM,georgia-tech:Georgia Tech,duke:Duke
7,big-east,2024-12-21,12:00AM,butler:Butler,connecticut:Connecticut
8,big-east,2024-12-21,12:00AM,creighton:Creighton,villanova:Villanova
9,big-east,2024-12-21,12:00AM,xavier:Xavier,marquette:Marquette
3,mwc,2024-12-21,12:00AM,boise-state:Boise State,air-force:Air Force
4,mwc,2024-12-21,12:00AM,nevada:Nevada,colorado-state:Colorado State
6,ovc,2024-12-21,12:00AM,lindenwood:Lindenwood,western-illinois:Western Illinois
7,ovc,2024-12-21,12:00AM,morehead-state:Morehead State,tennessee-state:Tennessee State
8,ovc,2024-12-21,12:00AM,southeast-missouri-state:Southeast Missouri State,southern-illinois-edwardsville:Southern Illinois-Edwardsville
9,ovc,2024-12-21,12:00AM,southern-indiana:Southern Indiana,tennessee-martin:Tennessee-Martin
1,sun-belt,2024-12-21,12:00AM,arkansas-state:Arkansas State,coastal-carolina:Coastal Carolina
2,sun-belt,2024-12-21,12:00AM,louisiana-monroe:Louisiana-Monroe,old-dominion:Old Dominion
3,sun-belt,2024-12-21,12:00AM,south-alabama:South Alabama,james-madison:James Madison
4,sun-belt,2024-12-21,12:00AM,southern-mississippi:Southern Mississippi,marshall:Marshall
5,sun-belt,2024-12-21,12:00AM,texas-state:Texas State,georgia-southern:Georgia Southern
6,sun-belt,2024-12-21,12:00AM,troy:Troy,georgia-state:Georgia State
10,big-east,2024-12-22,12:00AM,seton-hall:Seton Hall,georgetown:Georgetown
5,mwc,2024-12-28,12:00AM,colorado-state:Colorado State,new-mexico:New Mexico
6,mwc,2024-12-28,12:00AM,nevada-las-vegas:Nevada-Las Vegas,fresno-state:Fresno State
7,mwc,2024-12-28,12:00AM,san-diego-state:San Diego State,utah-state:Utah State
8,mwc,2024-12-28,12:00AM,san-jose-state:San Jose State,boise-state:Boise State
9,mwc,2024-12-28,12:00AM,wyoming:Wyoming,nevada:Nevada
10,southland,2024-12-28,12:00AM,mcneese-state:McNeese State,new-orleans:New Orleans
0,wcc,2024-12-28,12:00AM,portland:Portland,washington-state:Washington State
1,wcc,2024-12-28,12:00AM,saint-marys-ca:Saint Mary's (CA),pacific:Pacific
2,wcc,2024-12-28,12:00AM,san-francisco:San Francisco,loyola-marymount:Loyola Marymount
3,wcc,2024-12-28,12:00AM,santa-clara:Santa Clara,pepperdine:Pepperdine
15,horizon,2024-12-29,12:00AM,cleveland-state:Cleveland State,wright-state:Wright State
16,horizon,2024-12-29,12:00AM,green-bay:Green Bay,ipfw:Purdue Fort Wayne
17,horizon,2024-12-29,12:00AM,milwaukee:Milwaukee,iupui:IU Indy
18,horizon,2024-12-29,12:00AM,robert-morris:Robert Morris,northern-kentucky:Northern Kentucky
19,horizon,2024-12-29,12:00AM,youngstown-state:Youngstown State,detroit-mercy:Detroit Mercy
7,mvc,2024-12-29,12:00AM,bradley:Bradley,valparaiso:Valparaiso
8,mvc,2024-12-29,12:00AM,drake:Drake,belmont:Belmont
9,mvc,2024-12-29,12:00AM,evansville:Evansville,missouri-state:Missouri State
10,mvc,2024-12-29,12:00AM,illinois-state:Illinois State,illinois-chicago:Illinois-Chicago
11,mvc,2024-12-29,12:00AM,northern-iowa:Northern Iowa,southern-illinois:Southern Illinois
0,big-12,2024-12-30,12:00AM,arizona:Arizona,texas-christian:TCU
1,big-12,2024-12-30,12:00AM,colorado:Colorado,iowa-state:Iowa State
2,big-12,2024-12-30,12:00AM,kansas-state:Kansas State,cincinnati:Cincinnati
3,big-12,2024-12-30,12:00AM,oklahoma-state:Oklahoma State,houston:Houston
11,southland,2024-12-30,12:00AM,mcneese-state:McNeese State,southeastern-louisiana:Southeastern Louisiana
4,wcc,2024-12-30,12:00AM,oregon-state:Oregon State,portland:Portland
5,wcc,2024-12-30,12:00AM,pepperdine:Pepperdine,gonzaga:Gonzaga
6,wcc,2024-12-30,12:00AM,san-diego:San Diego,pacific:Pacific
7,wcc,2024-12-30,12:00AM,san-francisco:San Francisco,santa-clara:Santa Clara
8,wcc,2024-12-30,12:00AM,washington-state:Washington State,loyola-marymount:Loyola Marymount
0,aac,2024-12-31,12:00AM,charlotte:Charlotte,tulane:Tulane
1,aac,2024-12-31,12:00AM,north-texas:North Texas,alabama-birmingham:UAB
2,aac,2024-12-31,12:00AM,south-florida:South Florida,east-carolina:East Carolina
13,acc,2024-12-31,12:00AM,duke:Duke,virginia-tech:Virginia Tech
14,acc,2024-12-31,12:00AM,georgia-tech:Georgia Tech,notre-dame:Notre Dame
15,acc,2024-12-31,12:00AM,syracuse:Syracuse,wake-forest:Wake Forest
16,acc,2024-12-31,12:00AM,virginia:Virginia,north-carolina-state:NC State
0,atlantic-10,2024-12-31,12:00AM,dayton:Dayton,la-salle:La Salle
1,atlantic-10,2024-12-31,12:00AM,duquesne:Duquesne,rhode-island:Rhode Island
2,atlantic-10,2024-12-31,12:00AM,fordham:Fordham,saint-louis:Saint Louis
3,atlantic-10,2024-12-31,12:00AM,george-mason:George Mason,davidson:Davidson
4,atlantic-10,2024-12-31,12:00AM,richmond:Richmond,george-washington:George Washington
5,atlantic-10,2024-12-31,12:00AM,saint-josephs:Saint Joseph's,massachusetts:Massachusetts
6,atlantic-10,2024-12-31,12:00AM,st-bonaventure:St. Bonaventure,virginia-commonwealth:Virginia Commonwealth
4,big-12,2024-12-31,12:00AM,baylor:Baylor,utah:Utah
5,big-12,2024-12-31,12:00AM,brigham-young:Brigham Young,arizona-state:Arizona State
6,big-12,2024-12-31,12:00AM,kansas:Kansas,west-virginia:West Virginia
7,big-12,2024-12-31,12:00AM,texas-tech:Texas Tech,central-florida:UCF
11,big-east,2024-12-31,12:00AM,creighton:Creighton,st-johns-ny:St. John's (NY)
12,big-east,2024-12-31,12:00AM,providence:Providence,marquette:Marquette
13,big-east,2024-12-31,12:00AM,xavier:Xavier,seton-hall:Seton Hall
10,mwc,2024-12-31,12:00AM,air-force:Air Force,nevada-las-vegas:Nevada-Las Vegas
11,mwc,2024-12-31,12:00AM,fresno-state:Fresno State,new-mexico:New Mexico
12,mwc,2024-12-31,12:00AM,nevada:Nevada,utah-state:Utah State
13,mwc,2024-12-31,12:00AM,san-jose-state:San Jose State,colorado-state:Colorado State
14,mwc,2024-12-31,12:00AM,wyoming:Wyoming,boise-state:Boise State
10,ovc,2024-12-31,12:00AM,southern-indiana:Southern Indiana,morehead-state:Morehead State
3,aac,2025-01-01,12:00AM,tulsa:Tulsa,rice:Rice
17,acc,2025-01-01,12:00AM,boston-college:Boston College,miami-fl:Miami (FL)
18,acc,2025-01-01,12:00AM,clemson:Clemson,stanford:Stanford
19,acc,2025-01-01,12:00AM,louisville:Louisville,north-carolina:North Carolina
21,acc,2025-01-01,12:00AM,pittsburgh:Pittsburgh,california:California
14,big-east,2025-01-01,12:00AM,butler:Butler,villanova:Villanova
15,big-east,2025-01-01,12:00AM,depaul:DePaul,connecticut:Connecticut
21,horizon,2025-01-01,12:00AM,iupui:IU Indy,youngstown-state:Youngstown State
22,horizon,2025-01-01,12:00AM,northern-kentucky:Northern Kentucky,ipfw:Purdue Fort Wayne
12,mvc,2025-01-01,12:00AM,illinois-chicago:Illinois-Chicago,drake:Drake
13,mvc,2025-01-01,12:00AM,indiana-state:Indiana State,bradley:Bradley
14,mvc,2025-01-01,12:00AM,missouri-state:Missouri State,valparaiso:Valparaiso
15,mvc,2025-01-01,12:00AM,northern-iowa:Northern Iowa,belmont:Belmont
16,mvc,2025-01-01,12:00AM,southern-illinois:Southern Illinois,evansville:Evansville
0,southern,2025-01-01,12:00AM,east-tennessee-state:East Tennessee State,virginia-military-institute:Virginia Military Institute
1,southern,2025-01-01,12:00AM,mercer:Mercer,chattanooga:Chattanooga
2,southern,2025-01-01,12:00AM,samford:Samford,citadel:The Citadel
3,southern,2025-01-01,12:00AM,western-carolina:Western Carolina,furman:Furman
4,southern,2025-01-01,12:00AM,wofford:Wofford,north-carolina-greensboro:UNC Greensboro
4,aac,2025-01-02,12:00AM,florida-atlantic:Florida Atlantic,memphis:Memphis
0,atlantic-sun,2025-01-02,12:00AM,central-arkansas:Central Arkansas,eastern-kentucky:Eastern Kentucky
1,atlantic-sun,2025-01-02,12:00AM,jacksonville:Jacksonville,lipscomb:Lipscomb
2,atlantic-sun,2025-01-02,12:00AM,north-alabama:North Alabama,bellarmine:Bellarmine
3,atlantic-sun,2025-01-02,12:00AM,north-florida:North Florida,austin-peay:Austin Peay
4,atlantic-sun,2025-01-02,12:00AM,queens-nc:Queens (NC),stetson:Stetson
5,atlantic-sun,2025-01-02,12:00AM,west-georgia:West Georgia,florida-gulf-coast:Florida Gulf Coast
0,big-sky,2025-01-02,12:00AM,eastern-washington:Eastern Washington,montana:Montana
1,big-sky,2025-01-02,12:00AM,idaho:Idaho,montana-state:Montana State
2,big-sky,2025-01-02,12:00AM,northern-arizona:Northern Arizona,idaho-state:Idaho State
3,big-sky,2025-01-02,12:00AM,northern-colorado:Northern Colorado,weber-state:Weber State
0,big-south,2025-01-02,12:00AM,charleston-southern:Charleston Southern,gardner-webb:Gardner-Webb
1,big-south,2025-01-02,12:00AM,high-point:High Point,radford:Radford
2,big-south,2025-01-02,12:00AM,presbyterian:Presbyterian,longwood:Longwood
3,big-south,2025-01-02,12:00AM,winthrop:Winthrop,south-carolina-upstate:South Carolina Upstate
18,big-ten,2025-01-02,12:00AM,indiana:Indiana,rutgers:Rutgers
19,big-ten,2025-01-02,12:00AM,minnesota:Minnesota,purdue:Purdue
21,big-ten,2025-01-02,12:00AM,oregon:Oregon,illinois:Illinois
22,big-ten,2025-01-02,12:00AM,penn-state:Penn State,northwestern:Northwestern
23,big-ten,2025-01-02,12:00AM,washington:Washington,maryland:Maryland
10,big-west,2025-01-02,12:00AM,cal-poly:Cal Poly,california-irvine:UC Irvine
11,big-west,2025-01-02,12:00AM,cal-state-bakersfield:Cal State Bakersfield,california-davis:UC Davis
12,big-west,2025-01-02,12:00AM,cal-state-fullerton:Cal State Fullerton,cal-state-northridge:Cal State Northridge
13,big-west,2025-01-02,12:00AM,long-beach-state:Long Beach State,california-riverside:UC Riverside
1,coastal,2025-01-02,12:00AM,campbell:Campbell,drexel:Drexel
2,coastal,2025-01-02,12:00AM,college-of-charleston:College of Charleston,hampton:Hampton
3,coastal,2025-01-02,12:00AM,hofstra:Hofstra,william-mary:William & Mary
4,coastal,2025-01-02,12:00AM,monmouth:Monmouth,stony-brook:Stony Brook
5,coastal,2025-01-02,12:00AM,north-carolina-at:North Carolina A&T,elon:Elon
7,coastal,2025-01-02,12:00AM,north-carolina-wilmington:UNC Wilmington,towson:Towson
6,coastal,2025-01-02,12:00AM,northeastern:Northeastern,delaware:Delaware
0,cusa,2025-01-02,12:00AM,florida-international:Florida International,middle-tennessee:Middle Tennessee
1,cusa,2025-01-02,12:00AM,liberty:Liberty,western-kentucky:Western Kentucky
2,cusa,2025-01-02,12:00AM,new-mexico-state:New Mexico State,sam-houston-state:Sam Houston
3,cusa,2025-01-02,12:00AM,texas-el-paso:UTEP,louisiana-tech:Louisiana Tech
23,horizon,2025-01-02,12:00AM,detroit-mercy:Detroit Mercy,robert-morris:Robert Morris
24,horizon,2025-01-02,12:00AM,oakland:Oakland,milwaukee:Milwaukee
25,horizon,2025-01-02,12:00AM,wright-state:Wright State,green-bay:Green Bay
17,mvc,2025-01-02,12:00AM,murray-state:Murray State,illinois-state:Illinois State
11,ovc,2025-01-02,12:00AM,eastern-illinois:Eastern Illinois,lindenwood:Lindenwood
12,ovc,2025-01-02,12:00AM,southern-illinois-edwardsville:Southern Illinois-Edwardsville,western-illinois:Western Illinois
15,ovc,2025-01-02,12:00AM,tennessee-martin:Tennessee-Martin,arkansas-little-rock:Little Rock
13,ovc,2025-01-02,12:00AM,tennessee-state:Tennessee State,southeast-missouri-state:Southeast Missouri State
14,ovc,2025-01-02,12:00AM,tennessee-tech:Tennessee Tech,southern-indiana:Southern Indiana
0,patriot,2025-01-02,12:00AM,colgate:Colgate,army:Army
1,patriot,2025-01-02,12:00AM,holy-cross:Holy Cross,loyola-md:Loyola (MD)
2,patriot,2025-01-02,12:00AM,lafayette:Lafayette,boston-university:Boston University
3,patriot,2025-01-02,12:00AM,lehigh:Lehigh,bucknell:Bucknell
4,patriot,2025-01-02,12:00AM,navy:Navy,american:American
0,summit,2025-01-02,12:00AM,missouri-kansas-city:Kansas City,south-dakota:South Dakota
2,summit,2025-01-02,12:00AM,north-dakota-state:North Dakota State,st-thomas-mn:St. Thomas
1,summit,2025-01-02,12:00AM,north-dakota:North Dakota,nebraska-omaha:Omaha
3,summit,2025-01-02,12:00AM,south-dakota-state:South Dakota State,denver:Denver
7,sun-belt,2025-01-02,12:00AM,appalachian-state:Appalachian State,troy:Troy
8,sun-belt,2025-01-02,12:00AM,coastal-carolina:Coastal Carolina,louisiana-lafayette:Louisiana
9,sun-belt,2025-01-02,12:00AM,georgia-southern:Georgia Southern,louisiana-monroe:Louisiana-Monroe
10,sun-belt,2025-01-02,12:00AM,georgia-state:Georgia State,south-alabama:South Alabama
11,sun-belt,2025-01-02,12:00AM,james-madison:James Madison,southern-mississippi:Southern Mississippi
12,sun-belt,2025-01-02,12:00AM,marshall:Marshall,texas-state:Texas State
13,sun-belt,2025-01-02,12:00AM,old-dominion:Old Dominion,arkansas-state:Arkansas State
9,wcc,2025-01-02,12:00AM,gonzaga:Gonzaga,portland:Portland
10,wcc,2025-01-02,12:00AM,loyola-marymount:Loyola Marymount,oregon-state:Oregon State
11,wcc,2025-01-02,12:00AM,pacific:Pacific,san-francisco:San Francisco
12,wcc,2025-01-02,12:00AM,saint-marys-ca:Saint Mary's (CA),pepperdine:Pepperdine
13,wcc,2025-01-02,12:00AM,san-diego:San Diego,santa-clara:Santa Clara
5,aac,2025-01-03,12:00AM,temple:Temple,wichita-state:Wichita State
7,atlantic-10,2025-01-03,12:00AM,saint-louis:Saint Louis,saint-josephs:Saint Joseph's
16,big-east,2025-01-03,12:00AM,georgetown:Georgetown,xavier:Xavier
17,big-east,2025-01-03,12:00AM,marquette:Marquette,creighton:Creighton
24,big-ten,2025-01-03,12:00AM,ohio-state:Ohio State,michigan-state:Michigan State
25,big-ten,2025-01-03,12:00AM,wisconsin:Wisconsin,iowa:Iowa
14,big-west,2025-01-03,12:00AM,hawaii:Hawaii,california-santa-barbara:UC Santa Barbara
13,maac,2025-01-03,12:00AM,iona:Iona,marist:Marist
14,maac,2025-01-03,12:00AM,merrimack:Merrimack,fairfield:Fairfield
15,maac,2025-01-03,12:00AM,saint-peters:Saint Peter's,quinnipiac:Quinnipiac
16,maac,2025-01-03,12:00AM,siena:Siena,manhattan:Manhattan
0,mac,2025-01-03,12:00AM,bowling-green-state:Bowling Green State,akron:Akron
15,mwc,2025-01-03,12:00AM,new-mexico:New Mexico,nevada:Nevada
0,northeast,2025-01-03,12:00AM,long-island-university:Long Island University,le-moyne:Le Moyne
1,northeast,2025-01-03,12:00AM,mercyhurst:Mercyhurst,stonehill:Stonehill
2,northeast,2025-01-03,12:00AM,saint-francis-pa:Saint Francis (PA),central-connecticut-state:Central Connecticut State
3,northeast,2025-01-03,12:00AM,wagner:Wagner,chicago-state:Chicago State
8,aac,2025-01-04,12:00AM,alabama-birmingham:UAB,tulsa:Tulsa
6,aac,2025-01-04,12:00AM,rice:Rice,charlotte:Charlotte
7,aac,2025-01-04,12:00AM,tulane:Tulane,texas-san-antonio:UTSA
22,acc,2025-01-04,12:00AM,clemson:Clemson,california:California
23,acc,2025-01-04,12:00AM,florida-state:Florida State,syracuse:Syracuse
24,acc,2025-01-04,12:00AM,georgia-tech:Georgia Tech,boston-college:Boston College
25,acc,2025-01-04,12:00AM,notre-dame:Notre Dame,north-carolina:North Carolina
26,acc,2025-01-04,12:00AM,pittsburgh:Pittsburgh,stanford:Stanford
27,acc,2025-01-04,12:00AM,southern-methodist:Southern Methodist,duke:Duke
29,acc,2025-01-04,12:00AM,virginia-tech:Virginia Tech,miami-fl:Miami (FL)
28,acc,2025-01-04,12:00AM,virginia:Virginia,louisville:Louisville
30,acc,2025-01-04,12:00AM,wake-forest:Wake Forest,north-carolina-state:NC State
0,america-east,2025-01-04,12:00AM,albany-ny:Albany (NY),massachusetts-lowell:Massachusetts-Lowell
1,america-east,2025-01-04,12:00AM,binghamton:Binghamton,maryland-baltimore-county:Maryland-Baltimore County
2,america-east,2025-01-04,12:00AM,bryant:Bryant,maine:Maine
3,america-east,2025-01-04,12:00AM,new-hampshire:New Hampshire,vermont:Vermont
8,atlantic-10,2025-01-04,12:00AM,davidson:Davidson,duquesne:Duquesne
9,atlantic-10,2025-01-04,12:00AM,fordham:Fordham,st-bonaventure:St. Bonaventure
10,atlantic-10,2025-01-04,12:00AM,george-washington:George Washington,dayton:Dayton
11,atlantic-10,2025-01-04,12:00AM,loyola-il:Loyola (IL),virginia-commonwealth:Virginia Commonwealth
12,atlantic-10,2025-01-04,12:00AM,massachusetts:Massachusetts,richmond:Richmond
13,atlantic-10,2025-01-04,12:00AM,rhode-island:Rhode Island,george-mason:George Mason
6,atlantic-sun,2025-01-04,12:00AM,central-arkansas:Central Arkansas,bellarmine:Bellarmine
7,atlantic-sun,2025-01-04,12:00AM,jacksonville:Jacksonville,austin-peay:Austin Peay
8,atlantic-sun,2025-01-04,12:00AM,north-alabama:North Alabama,eastern-kentucky:Eastern Kentucky
9,atlantic-sun,2025-01-04,12:00AM,north-florida:North Florida,lipscomb:Lipscomb
10,atlantic-sun,2025-01-04,12:00AM,queens-nc:Queens (NC),florida-gulf-coast:Florida Gulf Coast
11,atlantic-sun,2025-01-04,12:00AM,west-georgia:West Georgia,stetson:Stetson
8,big-12,2025-01-04,12:00AM,arizona-state:Arizona State,colorado:Colorado
9,big-12,2025-01-04,12:00AM,cincinnati:Cincinnati,arizona:Arizona
10,big-12,2025-01-04,12:00AM,houston:Houston,brigham-young:Brigham Young
11,big-12,2025-01-04,12:00AM,iowa-state:Iowa State,baylor:Baylor
12,big-12,2025-01-04,12:00AM,texas-christian:TCU,kansas-state:Kansas State
13,big-12,2025-01-04,12:00AM,utah:Utah,texas-tech:Texas Tech
14,big-12,2025-01-04,12:00AM,west-virginia:West Virginia,oklahoma-state:Oklahoma State
18,big-east,2025-01-04,12:00AM,st-johns-ny:St. John's (NY),butler:Butler
19,big-east,2025-01-04,12:00AM,villanova:Villanova,depaul:DePaul
4,big-sky,2025-01-04,12:00AM,eastern-washington:Eastern Washington,montana-state:Montana State
5,big-sky,2025-01-04,12:00AM,idaho:Idaho,montana:Montana
6,big-sky,2025-01-04,12:00AM,northern-arizona:Northern Arizona,weber-state:Weber State
7,big-sky,2025-01-04,12:00AM,northern-colorado:Northern Colorado,idaho-state:Idaho State
